nome_bairro,nome_grupo,desc_atividade,total,n
CASA AMARELA,CONSTRUCAO CIVIL,OBRAS DE ALVENARIA,29180,1
CASA AMARELA,CONSTRUCAO CIVIL,OUTRAS OBRAS DE ENGENHARIA CIVIL NÃO ESPECIFICADAS ANTERIORMENTE,29180,1
CASA AMARELA,CONSTRUCAO CIVIL,SERVIÇOS DE ENGENHARIA,29180,1
CASA AMARELA,CONSTRUCAO CIVIL,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL,29180,1
CASA AMARELA,DIVERSOES PUBLICAS,"EXPLORAÇÃO DE JOGOS DE SINUCA, BILHAR E SIMILARES",29180,1
CASA AMARELA,DIVERSOES PUBLICAS,PRODUÇÃO TEATRAL,29180,1
CASA AMARELA,EDUCACAO,EDUCAÇÃO INFANTIL - CRECHE,29180,1
CASA AMARELA,EDUCACAO,ENSINO DE ARTE E CULTURA NÃO ESPECIFICADO ANTERIORMENTE,29180,1
CASA AMARELA,EDUCACAO,"ENSINO DE ARTES CÊNICAS, EXCETO DANÇA",29180,1
CASA AMARELA,EDUCACAO,ENSINO MÉDIO,29180,1
CASA AMARELA,EDUCACAO,FORMAÇÃO DE CONDUTORES,29180,1
CASA AMARELA,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS","COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",29180,1
CASA AMARELA,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS","COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS",29180,1
CASA AMARELA,FORNECIMENTO DE MAO-DE-OBRA,SELEÇÃO E AGENCIAMENTO DE MÃO-DE-OBRA,29180,1
CASA AMARELA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",FOTOCÓPIAS,29180,1
CASA AMARELA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",IMPRESSÃO DE MATERIAL PARA OUTROS USOS,29180,1
CASA AMARELA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",LABORATÓRIOS FOTOGRÁFICOS,29180,1
CASA AMARELA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",REPRODUÇÃO DE SOFTWARE EM QUALQUER SUPORTE,29180,1
CASA AMARELA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",REPRODUÇÃO DE VÍDEO EM QUALQUER SUPORTE,29180,1
CASA AMARELA,GUARDA E LOCACAO DE BENS MOVEIS,ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA ESCRITÓRIO,29180,1
CASA AMARELA,GUARDA E LOCACAO DE BENS MOVEIS,"ALUGUEL DE MÓVEIS, UTENSÍLIOS E APAR DE USO DOMÉST E PESSOAL/ INSTRUMENT MUSICAIS",29180,1
CASA AMARELA,GUARDA E LOCACAO DE BENS MOVEIS,"ALUGUEL DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPOR, EXC ANDAIMES",29180,1
CASA AMARELA,GUARDA E LOCACAO DE BENS MOVEIS,GUARDA-MÓVEIS,29180,1
CASA AMARELA,GUARDA E LOCACAO DE BENS MOVEIS,Outras atividades de serviços de segurança,29180,1
CASA AMARELA,INDUSTRIA GERAL,CONFECÇÃO DE ROUPAS ÍNTIMAS,29180,1
CASA AMARELA,INDUSTRIA GERAL,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA",29180,1
CASA AMARELA,INDUSTRIA GERAL,"FAB DE INST N/ ELETRÔN E UTENSÍL P/ USO MÉDICO, CIRÚRG, ODONTO E DE LABORATÓRIO",29180,1
CASA AMARELA,INDUSTRIA GERAL,Fabricacao de alimentos dieteticos e complementos alimentares,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE ALIMENTOS E PRATOS PRONTOS,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE ARTEFATOS DE BORRACHA NÃO ESPECIFICADOS ANTERIORMENTE,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE ARTEFATOS DE COURO NÃO ESPECIFICADOS ANTERIORMENTE,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA USO PESSOAL E DOMÉSTICO,29180,1
CASA AMARELA,INDUSTRIA GERAL,"FABRICAÇÃO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS",29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE ARTIGOS DE VIDRO,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE CALÇADOS DE COURO,29180,1
CASA AMARELA,INDUSTRIA GERAL,"FABRICAÇÃO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO",29180,1
CASA AMARELA,INDUSTRIA GERAL,"FABRICAÇÃO DE MÓVEIS DE OUTROS MATERIAIS, EXCETO MADEIRA E METAL",29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUÇÃO,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE OUTROS BRINQUEDOS E JOGOS RECREATIVOS NÃO ESPEC ANTERIORMENTE,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE OUTROS PRODUTOS TÊXTEIS NÃO ESPECIFICADOS ANTERIORMENTE,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE PÓS ALIMENTÍCIOS,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE PRODUTOS DIVERSOS NÃO ESPECIFICADOS ANTERIORMENTE,29180,1
CASA AMARELA,INDUSTRIA GERAL,FABRICAÇÃO DE SABÕES E DETERGENTES SINTÉTICOS,29180,1
CASA AMARELA,INDUSTRIA GERAL,TECELAGEM DE FIOS DE ALGODÃO,29180,1
CASA AMARELA,INSTITUICOES FINANCEIRAS E SECURITARIAS,BANCOS COMERCIAIS,29180,1
CASA AMARELA,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",ATIVIDADES DE CONTABILIDADE,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE CALÇADOS,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS",29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE GÁS LIQÜEFEITO DE PETRÓLEO (GLP),29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE LUBRIFICANTES,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE OBJETOS DE ARTE,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS",29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO,29180,1
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,TABACARIA,29180,1
CASA AMARELA,OUTROS SERVICOS,ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃO,29180,1
CASA AMARELA,OUTROS SERVICOS,"CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS",29180,1
CASA AMARELA,OUTROS SERVICOS,ESCAFANDRIA E MERGULHO,29180,1
CASA AMARELA,OUTROS SERVICOS,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS NÃO ESPECIFICADAS ANTERIORMENTE,29180,1
CASA AMARELA,OUTROS SERVICOS,Servicos de tratamento e revestimento em metais,29180,1
CASA AMARELA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",CORRETAGEM NO ALUGUEL DE IMÓVEIS,29180,1
CASA AMARELA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COM E AGENTES DO COM DE MATÉRIAS-PRIMAS AGRÍC E ANIMAIS VIVOS,29180,1
CASA AMARELA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM","REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MÁQ, EQUIP, EMBARC E AERONAVES",29180,1
CASA AMARELA,SAUDE,ATIVIDADES DE FORNEC DE INFRA-ESTRUTURA DE APOIO E ASSIST A PACIENTE NO DOMICÍLIO,29180,1
CASA AMARELA,SAUDE,ATIVIDADES DE PSICOLOGIA E PSICANÁLISE,29180,1
CASA AMARELA,SAUDE,ATIVIDADES DE TERAPIA OCUPACIONAL,29180,1
CASA AMARELA,SAUDE,INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,29180,1
CASA AMARELA,SAUDE,LABORATÓRIOS CLÍNICOS,29180,1
CASA AMARELA,SAUDE,"SERVIÇOS DE DIAGNÓSTICO POR REGISTRO GRÁFICO - ECG, EEG E OUTROS EXAMES ANÁLOGOS",29180,1
CASA AMARELA,SAUDE,SERVIÇOS DE PRÓTESE DENTÁRIA,29180,1
CASA AMARELA,SERVICOS DE INFORMATICA,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,29180,1
CASA AMARELA,SERVICOS DE INFORMATICA,OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO N/ ESPECIF ANTERIORMENTE,29180,1
CASA AMARELA,SERVICOS DE INFORMATICA,Recarga de cartuchos para equipamentos de informatica,29180,1
CASA AMARELA,SERVICOS DE INFORMATICA,"SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO",29180,1
CASA AMARELA,SERVICOS DE INFORMATICA,"TRATAMENTO DE DADOS, PROVEDORES DE SERV DE APLIC E SERV DE HOSPED NA INTERNET",29180,1
CASA AMARELA,SERVICOS DE INFORMATICA,Web design,29180,1
CASA AMARELA,SERVICOS FUNERARIOS,ATIVIDADES FUNERÁRIAS E SERVIÇOS RELACIONADOS NÃO ESPECIFICADOS ANTERIORMENTE,29180,1
CASA AMARELA,SERVICOS FUNERARIOS,SERVIÇOS DE FUNERÁRIAS,29180,1
CASA AMARELA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ALBERGUES ASSISTENCIAIS,29180,1
CASA AMARELA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES ASSOCIATIVAS NÃO ESPECIFICADAS ANTERIORMENTE,29180,1
CASA AMARELA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",CARTÓRIOS,29180,1
CASA AMARELA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS","CLUBES SOCIAIS, ESPORTIVOS E SIMILARES",29180,1
CASA AMARELA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",CONDOMÍNIOS PREDIAIS,29180,1
CASA AMARELA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,29180,1
CASA AMARELA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",SEGURIDADE SOCIAL OBRIGATÓRIA,29180,1
CASA AMARELA,SUPERMERCADOS E LOJAS DE DEPARTAMENTOS,"COM VAR DE MERC EM GERAL, COM PREDOMIN DE PROD ALIMENTÍCIOS - HIPERMERCADOS",29180,1
CASA AMARELA,TECNICO-CIENTIFICO,ATIVIDADES DE ESTUDOS GEOLÓGICOS,29180,1
CASA AMARELA,TECNICO-CIENTIFICO,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS N/ ESPECIFICAD ANTERIORMENTE",29180,1
CASA AMARELA,TECNICO-CIENTIFICO,SERVIÇOS DE ARQUITETURA,29180,1
CASA AMARELA,TECNICO-CIENTIFICO,"SERVIÇOS DE CARTOGRAFIA, TOPOGRAFIA E GEODÉSIA",29180,1
CASA AMARELA,TRANSPORTE E COMUNICACAO,ATIVIDADES DE RÁDIO,29180,1
CASA AMARELA,TRANSPORTE E COMUNICACAO,OUTRAS ATIVIDADES DE TELECOMUNICAÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,29180,1
CASA AMARELA,TRANSPORTE E COMUNICACAO,"TRANSPORTE RODOV COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL",29180,1
CASA AMARELA,TRANSPORTE E COMUNICACAO,TRANSPORTE RODOVIÁRIO DE PRODUTOS PERIGOSOS,29180,1
CASA AMARELA,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",AGÊNCIAS DE VIAGENS,29180,1
CASA AMARELA,"TURISMO, HOSPEDAGEM E ASSEMELHADOS","ORGANIZAÇÃO DE EXCURSÕES EM VEÍC RODOV PRÓPR, INTERMUN, INTEREST E INTERNACIONAL",29180,1
CASA AMARELA,VETERINARIO E SIMILARES,CRIAÇÃO DE ANIMAIS DE ESTIMAÇÃO,29180,1
CASA FORTE,"ANALISE, PESQUISA DE MERCADO E PUBLICIDADE",AGÊNCIAS DE PUBLICIDADE,6750,1
CASA FORTE,BELEZA E HIGIENE PESSOAL,Atividades de estetica e outros servicos de cuidados com a beleza,6750,1
CASA FORTE,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔN E EQUIP DE TELEFONIA E COMUNICAÇÃO,6750,1
CASA FORTE,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO VETERINÁRIO,6750,1
CASA FORTE,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE MÓVEIS E ARTIGOS DE COLCHOARIA,6750,1
CASA FORTE,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE OUTROS EQUIP E ART DE USO PESSOAL E DOMÉST NÃO ESP ANTER,6750,1
CASA FORTE,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUT ALIMENT N/ ESP ANTERIORMENTE,6750,1
CASA FORTE,CONSERVAÇÃO E LIMPEZA,IMUNIZAÇÃO E CONTROLE DE PRAGAS URBANAS,6750,1
CASA FORTE,CONSERVAÇÃO E LIMPEZA,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,6750,1
CASA FORTE,CONSERVAÇÃO E LIMPEZA,LAVANDERIAS,6750,1
CASA FORTE,CONSTRUCAO CIVIL,COMPRA E VENDA DE IMÓVEIS PRÓPRIOS,6750,1
CASA FORTE,CONSTRUCAO CIVIL,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,6750,1
CASA FORTE,CONSTRUCAO CIVIL,OBRAS DE FUNDAÇÕES,6750,1
CASA FORTE,CONSTRUCAO CIVIL,SERVIÇOS DE ENGENHARIA,6750,1
CASA FORTE,"CONTABILIDADE, CONSULTORIA E ASSESSORIA","ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXC CONSULT TÉCNICA ESPECÍFICA",6750,1
CASA FORTE,DIVERSOES PUBLICAS,CASAS DE FESTAS E EVENTOS,6750,1
CASA FORTE,EDUCACAO,"ATIVIDADES DE APOIO À EDUCAÇÃO, EXCETO CAIXAS ESCOLARES",6750,1
CASA FORTE,EDUCACAO,ENSINO DE DANÇA,6750,1
CASA FORTE,EDUCACAO,ENSINO FUNDAMENTAL,6750,1
CASA FORTE,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS","COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",6750,1
CASA FORTE,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,6750,1
CASA FORTE,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO","ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS, EXCETO AÉREA E SUBMARINA",6750,1
CASA FORTE,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO","EDIÇÃO DE CADASTROS, LISTAS E OUTROS PRODUTOS GRÁFICOS",6750,1
CASA FORTE,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",EDIÇÃO DE LIVROS,6750,1
CASA FORTE,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",ESTÚDIOS CINEMATOGRÁFICOS,6750,1
CASA FORTE,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO,6750,1
CASA FORTE,GUARDA E LOCACAO DE BENS MOVEIS,"ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXC ANDAIMES",6750,1
CASA FORTE,GUARDA E LOCACAO DE BENS MOVEIS,ESTACIONAMENTO DE VEÍCULOS,6750,1
CASA FORTE,GUARDA E LOCACAO DE BENS MOVEIS,GUARDA-MÓVEIS,6750,1
CASA FORTE,INDUSTRIA GERAL,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA",6750,1
CASA FORTE,INDUSTRIA GERAL,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MÓVEIS",6750,1
CASA FORTE,INDUSTRIA GERAL,FABRICAÇÃO DE CALÇADOS DE COURO,6750,1
CASA FORTE,INDUSTRIA GERAL,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA,6750,1
CASA FORTE,INDUSTRIA GERAL,TORREFAÇÃO E MOAGEM DE CAFÉ,6750,1
CASA FORTE,INSTITUICOES FINANCEIRAS E SECURITARIAS,"CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVID COMPLEMENTAR E DE SAÚDE",6750,1
CASA FORTE,INSTITUICOES FINANCEIRAS E SECURITARIAS,GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,6750,1
CASA FORTE,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO","SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",6750,1
CASA FORTE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,6750,1
CASA FORTE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS,6750,1
CASA FORTE,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",6750,1
CASA FORTE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,6750,1
CASA FORTE,OUTRAS ATIVIDADES VAREJISTAS,COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA,6750,1
CASA FORTE,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS",6750,1
CASA FORTE,OUTROS SERVICOS,FACÇÃO DE ROUPAS PROFISSIONAIS,6750,1
CASA FORTE,OUTROS SERVICOS,"OUTROS SERVIÇOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEF TÊXT E PEÇAS DO VESTUÁRIO",6750,1
CASA FORTE,OUTROS SERVICOS,PREPARACAO DE DOCUMENTOS E SERV ESPECIALIZ DE APOIO ADMINIST N/ ESP ANTERIORMENTE,6750,1
CASA FORTE,OUTROS SERVICOS,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,6750,1
CASA FORTE,OUTROS SERVICOS,"SERVIÇOS COMBINADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS",6750,1
CASA FORTE,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENT COM E AGENTES DO COM DE PEÇAS E ACESS NOVOS E USAD P/ VEÍC AUTOMOTOR,6750,1
CASA FORTE,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM","REPRESENTANTES COM E AGENTES DO COM DE MEDICAM, COSMÉT E PROD DE PERFUMARIA",6750,1
CASA FORTE,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM","REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MADEIRA, MATDE CONST E FERRAGENS",6750,1
CASA FORTE,SAUDE,ATIVIDADE MÉDICA AMBULATORIAL COM RECURSOS P/ REALIZ DE PROCEDIMENTOS CIRÚRGICOS,6750,1
CASA FORTE,SAUDE,ATIVIDADE MÉDICA AMBULATORIAL RESTRITA A CONSULTAS,6750,1
CASA FORTE,SAUDE,INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,6750,1
CASA FORTE,SAUDE,LABORATÓRIOS CLÍNICOS,6750,1
CASA FORTE,SERVICOS DE INFORMATICA,DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA,6750,1
CASA FORTE,SERVICOS DE INFORMATICA,REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS,6750,1
CASA FORTE,SERVICOS DE INFORMATICA,"SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO",6750,1
CASA FORTE,SERVICOS DE INFORMATICA,"TRATAMENTO DE DADOS, PROVEDORES DE SERV DE APLIC E SERV DE HOSPED NA INTERNET",6750,1
CASA FORTE,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ADMINISTRAÇÃO PÚBLICA EM GERAL,6750,1
CASA FORTE,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS OU FILOSOFICAS,6750,1
CASA FORTE,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS","CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA",6750,1
CASA FORTE,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",CARTÓRIOS,6750,1
CASA FORTE,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS","CLUBES SOCIAIS, ESPORTIVOS E SIMILARES",6750,1
CASA FORTE,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS SOCIAIS E HUMANAS,6750,1
CASA FORTE,SUPERMERCADOS E LOJAS DE DEPARTAMENTOS,"COM VAR DE MERC EM GERAL, COM PREDOMIN DE PROD ALIMENTÍCIOS - SUPERMERCADOS",6750,1
CASA FORTE,TECNICO-CIENTIFICO,Atividades de design não especificadas anteriormente,6750,1
CASA FORTE,TECNICO-CIENTIFICO,MARKETING DIRETO,6750,1
CASA FORTE,TECNICO-CIENTIFICO,"OBRAS DE URBANIZAÇÃO - RUAS, PRAÇAS E CALÇADAS",6750,1
CASA FORTE,TECNICO-CIENTIFICO,SERVIÇOS DE ARQUITETURA,6750,1
CASA FORTE,TRANSPORTE E COMUNICACAO,OUTRAS ATIVIDADES DE TELECOMUNICAÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,6750,1
CASA FORTE,TRANSPORTE E COMUNICACAO,SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA,6750,1
CASA FORTE,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",AGÊNCIAS DE VIAGENS,6750,1
CASA FORTE,"TURISMO, HOSPEDAGEM E ASSEMELHADOS","ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, MUNICIPAL",6750,1
CASA FORTE,VETERINARIO E SIMILARES,ATIVIDADES VETERINÁRIAS,6750,1
CAXANGA,ATIVIDADES AGROPECUARIAS E EXTRATIVAS,CRIAÇÃO DE BOVINOS PARA CORTE,9634,1
CAXANGA,ATIVIDADES AGROPECUARIAS E EXTRATIVAS,CRIAÇÃO DE FRANGOS PARA CORTE,9634,1
CAXANGA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,9634,1
CAXANGA,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE ÁGUA MINERAL,9634,1
CAXANGA,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS,9634,1
CAXANGA,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA,9634,1
CAXANGA,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE MÓVEIS E ARTIGOS DE COLCHOARIA,9634,1
CAXANGA,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL,9634,1
CAXANGA,COMERCIO ATACADISTA,COMÉRCIO POR ATACADO DE PNEUMÁTICOS E CÂMARAS-DE-AR,9634,1
CAXANGA,CONSERVAÇÃO E LIMPEZA,COLETA DE RESÍDUOS NÃO-PERIGOSOS,9634,1
CAXANGA,CONSERVAÇÃO E LIMPEZA,DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS,9634,1
CAXANGA,CONSERVAÇÃO E LIMPEZA,LAVANDERIAS,9634,1
CAXANGA,CONSERVAÇÃO E LIMPEZA,RECUPERAÇÃO DE SUCATAS DE ALUMÍNIO,9634,1
CAXANGA,CONSERVAÇÃO E LIMPEZA,REFORMA DE PNEUMÁTICOS USADOS,9634,1
